,Name,Latitude,Longitude,location
0,The Gym London Charing Cross,51.50701872318441,-0.12476041859239369,"{""coordinates"": [-0.12476, 51.507019], ""type"": ""Point""}"
1,Radisson Blu Gym,51.50995,-0.12987256,"{""coordinates"": [-0.129873, 51.50995], ""type"": ""Point""}"
2,ESPA Life Gym,51.50631843415083,-0.12464761734008789,"{""coordinates"": [-0.124648, 51.506318], ""type"": ""Point""}"
3,The Gym,51.51186222602245,-0.12195035778693862,"{""coordinates"": [-0.12195, 51.511862], ""type"": ""Point""}"
4,FIT (W Hotel Gym),51.51002945140006,-0.13139774041125615,"{""coordinates"": [-0.131398, 51.510029], ""type"": ""Point""}"
5,Nuffield Health Fitness & Wellbeing Gym,51.51415625004893,-0.12390816109064977,"{""coordinates"": [-0.123908, 51.514156], ""type"": ""Point""}"
6,The May Fair Gym,51.508482961330806,-0.14430483879778505,"{""coordinates"": [-0.144305, 51.508483], ""type"": ""Point""}"
7,Lansdowne Club Gym & Pool,51.50830561713405,-0.1452734054068475,"{""coordinates"": [-0.145273, 51.508306], ""type"": ""Point""}"
8,The Gym Charing Cross,51.50704192570248,-0.12486453814637305,"{""coordinates"": [-0.124865, 51.507042], ""type"": ""Point""}"
9,The Gym,51.50073064127175,-0.10709910660258051,"{""coordinates"": [-0.107099, 51.500731], ""type"": ""Point""}"
10,Amba Hotel Gym,51.50831237866142,-0.12466883213699784,"{""coordinates"": [-0.124669, 51.508312], ""type"": ""Point""}"
11,Regent Gym,51.51692587106962,-0.14262820142416596,"{""coordinates"": [-0.142628, 51.516926], ""type"": ""Point""}"
12,Gymbox,51.5104680522224,-0.1268028951415381,"{""coordinates"": [-0.126803, 51.510468], ""type"": ""Point""}"
13,Gym Store,51.508742458803326,-0.12791991233825684,"{""coordinates"": [-0.12792, 51.508742], ""type"": ""Point""}"
14,Jubilee Hall Gym,51.51195611025909,-0.12210762544716137,"{""coordinates"": [-0.122108, 51.511956], ""type"": ""Point""}"
15,The Gym @ LikeMinds Club,51.5073187453107,-0.12748897004867576,"{""coordinates"": [-0.127489, 51.507319], ""type"": ""Point""}"
16,Bain's Gym,51.509177,-0.123955,"{""coordinates"": [-0.123955, 51.509177], ""type"": ""Point""}"
17,PureGym,51.50853361351264,-0.1335231726655443,"{""coordinates"": [-0.133523, 51.508534], ""type"": ""Point""}"
18,Club Quarters Gym,51.5069665287522,-0.1260475925254104,"{""coordinates"": [-0.126048, 51.506967], ""type"": ""Point""}"
19,Nuffield Health Fitness & Wellbeing Gym,51.524178,-0.118479,"{""coordinates"": [-0.118479, 51.524178], ""type"": ""Point""}"
20,Gym @ Barclay Tower,40.71236,-74.009429,"{""coordinates"": [-74.009429, 40.71236], ""type"": ""Point""}"
21,The Helena Gym,40.71427625954067,-74.00596671807583,"{""coordinates"": [-74.005967, 40.714276], ""type"": ""Point""}"
22,Gym @ Tribeca Tower,40.715839313690935,-74.00628872087515,"{""coordinates"": [-74.006289, 40.715839], ""type"": ""Point""}"
