,Name,Latitude,Longitude,location
0,School of Wok,51.50997005755337,-0.12474030997484759,"{""coordinates"": [-0.12474, 51.50997], ""type"": ""Point""}"
1,London School of Economics and Political Science (LSE),51.51466435365831,-0.11660099029541014,"{""coordinates"": [-0.116601, 51.514664], ""type"": ""Point""}"
2,Avalon School,51.512036,-0.12781,"{""coordinates"": [-0.12781, 51.512036], ""type"": ""Point""}"
3,"School of Law, Queen Mary",51.51663396375619,-0.11882663130379961,"{""coordinates"": [-0.118827, 51.516634], ""type"": ""Point""}"
4,CHANEL SCHOOL OF MAKEUP AT COVENT GARDEN,51.51234446446966,-0.1226414215652416,"{""coordinates"": [-0.122641, 51.512344], ""type"": ""Point""}"
5,Royal Ballet School Student Residence (Covent Garden),51.512919194892646,-0.12219745073267345,"{""coordinates"": [-0.122197, 51.512919], ""type"": ""Point""}"
6,Soho Parish Primary School,51.511499695412375,-0.13411025962427134,"{""coordinates"": [-0.13411, 51.5115], ""type"": ""Point""}"
7,ABC School of English,51.51491956875129,-0.12643832143670272,"{""coordinates"": [-0.126438, 51.51492], ""type"": ""Point""}"
8,Central School Of English,51.5166585426306,-0.13046010212083986,"{""coordinates"": [-0.13046, 51.516659], ""type"": ""Point""}"
9,Mayfair School of English,51.51608164275157,-0.13454735117401778,"{""coordinates"": [-0.134547, 51.516082], ""type"": ""Point""}"
10,School of Oriental & African Studies,51.522098206388165,-0.12872932460412276,"{""coordinates"": [-0.128729, 51.522098], ""type"": ""Point""}"
11,London Nautical School,51.5066967622334,-0.10825111726546992,"{""coordinates"": [-0.108251, 51.506697], ""type"": ""Point""}"
12,UCL School of Pharmacy,51.525004126315665,-0.1223611969292745,"{""coordinates"": [-0.122361, 51.525004], ""type"": ""Point""}"
13,School Of Public Policy,51.5250150469083,-0.1304858235091317,"{""coordinates"": [-0.130486, 51.525015], ""type"": ""Point""}"
14,London School of Hygiene and Tropical Medicine,51.5206221348059,-0.13004971419650002,"{""coordinates"": [-0.13005, 51.520622], ""type"": ""Point""}"
15,School Of Slavonic And East European Studies,51.52531289977121,-0.1314734867863023,"{""coordinates"": [-0.131473, 51.525313], ""type"": ""Point""}"
16,"South Courtyard, London School of Hygiene & Tropical Medicine",51.52079083896197,-0.12980205942110803,"{""coordinates"": [-0.129802, 51.520791], ""type"": ""Point""}"
17,Blewcoat School,51.49837911690763,-0.13622449085577507,"{""coordinates"": [-0.136224, 51.498379], ""type"": ""Point""}"
18,LSBF London School of Business and Finance,51.51787480820429,-0.10932384750782491,"{""coordinates"": [-0.109324, 51.517875], ""type"": ""Point""}"
19,The London School of Make-up,51.51605,-0.14319442,"{""coordinates"": [-0.143194, 51.51605], ""type"": ""Point""}"
20,P.S. 89 - Liberty School,40.71691589834769,-74.01302382287915,"{""coordinates"": [-74.013024, 40.716916], ""type"": ""Point""}"
21,Seidenberg School Of CSIS,40.710245400297566,-74.00596819890899,"{""coordinates"": [-74.005968, 40.710245], ""type"": ""Point""}"
22,Stuyvesant High School,40.717608879529976,-74.01320281198944,"{""coordinates"": [-74.013203, 40.717609], ""type"": ""Point""}"
23,ABI School Of Barbering,40.715365999999996,-74.00815300000001,"{""coordinates"": [-74.008153, 40.715366], ""type"": ""Point""}"
24,Actors Studio Drama School,40.71159778861919,-74.00542733678141,"{""coordinates"": [-74.005427, 40.711598], ""type"": ""Point""}"
25,New York Law School Bookstore,40.71736,-74.00631700000001,"{""coordinates"": [-74.006317, 40.71736], ""type"": ""Point""}"
26,NYU School of Professional Studies,40.71263433816652,-74.00831227256191,"{""coordinates"": [-74.008312, 40.712634], ""type"": ""Point""}"
27,PS 1 Alfred E. Smith School,40.71272508872741,-73.99756048796722,"{""coordinates"": [-73.99756, 40.712725], ""type"": ""Point""}"
28,Murry Bergtraum High School,40.71118183194915,-74.00138476365248,"{""coordinates"": [-74.001385, 40.711182], ""type"": ""Point""}"
29,Lubin School Of Business,40.71102372013692,-74.00373160993442,"{""coordinates"": [-74.003732, 40.711024], ""type"": ""Point""}"
30,Sun Yat Sen Middle School MS 131,40.71648604355442,-73.9935230473438,"{""coordinates"": [-73.993523, 40.716486], ""type"": ""Point""}"
31,Mei Wah Pre-School,40.71221160888672,-73.9966812133789,"{""coordinates"": [-73.996681, 40.712212], ""type"": ""Point""}"
